-1.238 2.126 -1.977 2.081 -1.648 0.309 -2.571 2.690 -1.552 2.959 3.751 3.457
-1.023 2.233 -1.063 2.160 -1.873 -0.294 -1.676 2.321 -1.456 2.235 2.706 2.603
-1.376 2.967 -1.450 1.563 -1.317 -0.403 -2.432 2.882 -2.415 2.017 2.398 2.607
-2.412 3.080 -1.534 2.116 -1.797 0.013 -2.630 2.658 -1.330 1.953 1.844 1.912
-2.392 2.337 -1.270 2.644 -1.139 -0.700 -2.648 2.901 -1.576 1.374 2.095 1.951
2.991 2.364 -1.932 2.782 -1.116 -0.767 -2.465 2.327 -1.498 1.327 2.063 1.896
-1.236 2.002 1.172 0.357 -1.196 -0.750 -1.399 1.197 -1.022 1.231 1.565 2.148
-1.133 2.588 1.018 0.652 -1.913 -0.692 -1.786 2.410 -1.751 1.539 1.637 1.435
-1.310 1.756 1.203 0.744 -1.513 -0.095 -1.439 -0.470 -1.036 1.257 1.268 1.732
-2.583 2.395 0.539 1.099 -1.819 -0.245 -1.616 0.318 -1.538 1.157 1.188 1.709
-2.484 2.859 0.515 1.313 -2.002 0.331 -1.844 2.417 -1.411 0.752 1.455 1.657
-2.384 2.827 -1.632 2.826 -1.150 -0.709 -2.359 1.985 -1.764 1.201 0.756 1.575
-1.462 1.753 -1.879 2.250 -1.119 -0.422 -1.106 2.577 -2.121 0.925 0.808 1.496
-2.362 2.182 -1.057 2.519 -2.424 2.618 -2.183 0.930 -0.583 0.825 0.745 0.478
-2.381 2.203 -0.450 2.187 -2.666 1.304 -1.242 2.218 -1.452 1.039 0.745 0.515
-1.853 2.838 -1.556 2.580 -2.112 2.107 -1.033 0.503 -1.545 0.936 0.764 0.491
-2.409 2.199 -1.207 2.363 -1.951 2.383 -1.983 1.805 -1.366 1.071 0.834 0.474
-1.974 2.051 -0.841 2.187 -2.342 2.189 -1.507 2.216 -2.138 0.953 0.769 0.451
-1.625 2.357 -1.366 2.549 -2.393 2.536 -2.623 2.491 -1.715 0.998 0.719 0.440
-0.639 2.080 -1.653 2.621 -2.410 2.094 -1.066 2.824 -1.843 0.870 0.758 0.495
-1.399 2.765 -1.648 2.217 -2.094 2.464 -1.929 2.818 -2.372 0.787 0.724 0.487
